2022, 1, 7, FC Bayern Munich, 1:2, Borussia Monchengladbach, NULL, NULL
2022, 1, 8, TSG 1899 Hoffenheim, 3:1, FC Augsburg, 500, NULL
2022, 1, 8, Freiburg, 2:2, Arminia Bielefeld, 500, NULL
2022, 1, 8, Bayer 04 Leverkusen, 2:2, 1. FC Union Berlin, NULL, NULL
2022, 1, 8, SpVgg Greuther Fürth, 0:0, Stuttgart, NULL, NULL
2022, 1, 8, RB Leipzig, 4:1, 1. FSV Mainz 05, NULL, NULL
2022, 1, 8, Eintracht Frankfurt, 2:3, Borussia Dortmund, 250, NULL
2022, 1, 9, Hertha BSC, 1:3, 1. FC Cologne, 3000, NULL
2022, 1, 9, VfL Bochum, 1:0, VfL Wolfsburg, NULL, NULL
2022, 1, 14, Borussia Dortmund, 5:1, Freiburg, 750, NULL
2022, 1, 15, 1. FC Cologne, 0:4, FC Bayern Munich, 1000, NULL
2022, 1, 15, 1. FSV Mainz 05, 1:0, VfL Bochum, 1000, NULL
2022, 1, 15, 1. FC Union Berlin, 2:1, TSG 1899 Hoffenheim, 3000, NULL
2022, 1, 15, Stuttgart, 0:2, RB Leipzig, 500, NULL
2022, 1, 15, VfL Wolfsburg, 0:0, Hertha BSC, 500, NULL
2022, 1, 15, Borussia Monchengladbach, 1:2, Bayer 04 Leverkusen, 750, NULL
2022, 1, 16, FC Augsburg, 1:1, Eintracht Frankfurt, NULL, NULL
2022, 1, 16, Arminia Bielefeld, 2:2, SpVgg Greuther Fürth, 750, NULL
2022, 1, 21, Eintracht Frankfurt, 0:2, Arminia Bielefeld, 1000, NULL
2022, 1, 22, TSG 1899 Hoffenheim, 2:3, Borussia Dortmund, 500, NULL
2022, 1, 22, SpVgg Greuther Fürth, 2:1, 1. FSV Mainz 05, NULL, NULL
2022, 1, 22, Freiburg, 2:0, Stuttgart, 500, NULL
2022, 1, 22, Borussia Monchengladbach, 1:2, 1. FC Union Berlin, 750, NULL
2022, 1, 22, Bayer 04 Leverkusen, 5:1, FC Augsburg, 750, NULL
2022, 1, 22, VfL Bochum, 2:2, 1. FC Cologne, 750, NULL
2022, 1, 23, RB Leipzig, 2:0, VfL Wolfsburg, 1000, NULL
2022, 1, 23, Hertha BSC, 1:4, FC Bayern Munich, 3000, NULL
2022, 2, 4, Hertha BSC, 1:1, VfL Bochum, 3000, NULL
2022, 2, 5, 1. FSV Mainz 05, 2:0, TSG 1899 Hoffenheim, 6800, NULL
2022, 2, 5, Stuttgart, 2:3, Eintracht Frankfurt, 10000, NULL
2022, 2, 5, 1. FC Cologne, 1:0, Freiburg, 10000, NULL
2022, 2, 5, Arminia Bielefeld, 1:1, Borussia Monchengladbach, 10000, NULL
2022, 2, 5, FC Augsburg, 2:0, 1. FC Union Berlin, 7600, NULL
2022, 2, 5, FC Bayern Munich, 3:2, RB Leipzig, 10000, NULL
2022, 2, 6, Borussia Dortmund, 2:5, Bayer 04 Leverkusen, 10000, NULL
2022, 2, 6, VfL Wolfsburg, 4:1, SpVgg Greuther Fürth, 500, NULL
2022, 2, 11, RB Leipzig, 3:1, 1. FC Cologne, 15000, NULL
2022, 2, 12, Eintracht Frankfurt, 0:2, VfL Wolfsburg, 10000, NULL
2022, 2, 12, VfL Bochum, 4:2, FC Bayern Munich, 8500, NULL
2022, 2, 12, Borussia Monchengladbach, 3:2, FC Augsburg, 10000, NULL
2022, 2, 12, SpVgg Greuther Fürth, 2:1, Hertha BSC, 7919, NULL
2022, 2, 12, Freiburg, 1:1, 1. FSV Mainz 05, 10000, NULL
2022, 2, 12, Bayer 04 Leverkusen, 4:2, Stuttgart, 10000, NULL
2022, 2, 13, 1. FC Union Berlin, 0:3, Borussia Dortmund, 10000, NULL
2022, 2, 13, TSG 1899 Hoffenheim, 2:0, Arminia Bielefeld, 10000, NULL
2022, 2, 18, 1. FSV Mainz 05, 3:2, Bayer 04 Leverkusen, 10000, NULL
2022, 2, 19, Stuttgart, 1:1, VfL Bochum, 20059, NULL
2022, 2, 19, VfL Wolfsburg, 1:2, TSG 1899 Hoffenheim, 7145, NULL
2022, 2, 19, Arminia Bielefeld, 1:0, 1. FC Union Berlin, 10000, NULL
2022, 2, 19, FC Augsburg, 1:2, Freiburg, 15000, NULL
2022, 2, 19, 1. FC Cologne, 1:0, Eintracht Frankfurt, 10000, NULL
2022, 2, 20, FC Bayern Munich, 4:1, SpVgg Greuther Fürth, 25000, NULL
2022, 2, 20, Borussia Dortmund, 6:0, Borussia Monchengladbach, 10000, NULL
2022, 2, 20, Hertha BSC, 1:6, RB Leipzig, 10000, NULL
2022, 2, 25, TSG 1899 Hoffenheim, 2:1, Stuttgart, 18099, NULL
2022, 2, 26, 1. FC Union Berlin, 3:1, 1. FSV Mainz 05, 10000, NULL
2022, 2, 26, Borussia Monchengladbach, 2:2, VfL Wolfsburg, 10000, NULL
2022, 2, 26, SpVgg Greuther Fürth, 1:1, 1. FC Cologne, 9200, NULL
2022, 2, 26, Freiburg, 3:0, Hertha BSC, 25000, NULL
2022, 2, 26, Bayer 04 Leverkusen, 3:0, Arminia Bielefeld, 10000, NULL
2022, 2, 26, Eintracht Frankfurt, 0:1, FC Bayern Munich, 25000, NULL
2022, 2, 27, VfL Bochum, 0:1, RB Leipzig, 10000, NULL
2022, 2, 27, FC Augsburg, 1:1, Borussia Dortmund, 15330, NULL
2022, 3, 4, Arminia Bielefeld, 0:1, FC Augsburg, 19460, NULL
2022, 3, 5, VfL Bochum, 2:1, SpVgg Greuther Fürth, 19800, NULL
2022, 3, 5, RB Leipzig, 1:1, Freiburg, 24758, NULL
2022, 3, 5, FC Bayern Munich, 1:1, Bayer 04 Leverkusen, 25000, NULL
2022, 3, 5, Hertha BSC, 1:4, Eintracht Frankfurt, 25000, NULL
2022, 3, 5, VfL Wolfsburg, 1:0, 1. FC Union Berlin, 15703, NULL
2022, 3, 5, Stuttgart, 3:2, Borussia Monchengladbach, 25000, NULL
